COP;170;1;0.01;0.001;0.01;0;100;0.20608;0;02:02;02:05
CRC;188;1;0.01;0.001;0.01;0;100;1.3964;0;02:02;02:05
CUP;192;1;0.01;0.001;0.01;0;100;1121.57534;0;02:02;02:05
CVE;132;1;0.01;0.001;0.01;0;100;6.5976;0;02:02;02:05
DJF;262;1;1;0.1;1;0;100;3.51884;0;00:00;00:03
DOP;214;1;0.01;0.001;0.01;0;100;10.64212;0;02:02;02:05
EGP;818;1;0.01;0.001;0.01;0;100;12.41438;0;02:02;02:05
ERN;232;1;0.01;0.001;0.01;0;100;56.51541;0;02:02;02:05
ETB;230;1;0.01;0.001;0.01;0;100;3.85274;0;02:02;02:05
FKP;238;1;0.01;0.001;0.01;0;100;1163.44178;0;02:02;02:05
GEL;981;1;0.01;0.001;0.01;0;100;238.61301;0;02:02;02:05
GHS;936;1;0.01;0.001;0.01;0;100;56.66952;0;02:02;02:05
GIP;292;1;0.01;0.001;0.01;0;100;1163.44178;0;02:02;02:05
GMD;270;1;0.01;0.001;0.01;0;100;8.39041;0;02:02;02:05
GNF;324;1;1;0.1;1;0;100;0.07106;0;00:00;00:03
GTQ;320;1;0.01;0.001;0.01;0;100;82.32877;0;02:02;02:05
GYD;328;1;0.01;0.001;0.01;0;100;4.06678;0;02:02;02:05
HNL;340;1;0.01;0.001;0.01;0;100;23.38185;0;02:02;02:05
HTG;332;1;0.01;0.001;0.01;0;100;4.79452;0;02:02;02:05
ILS;376;1;0.01;0.001;0.01;0;100;211.21575;0;02:02;02:05
IQD;368;1;0.001;0.0001;0.001;0;100;0.48005;0;03:03;03:06
IRR;364;1;0.01;0.001;0.01;0;100;0.00045;0;02:02;02:05
JMD;388;1;0.01;0.001;0.01;0;100;3.95377;0;02:02;02:05
JOD;400;1;0.001;0.0001;0.001;0;100;886.04452;0;03:03;03:06
KGS;417;1;0.01;0.001;0.01;0;100;9.78596;0;02:02;02:05
KHR;116;1;0.01;0.001;0.01;0;100;0.15539;0;02:02;02:05
KMF;174;1;1;0.1;1;0;100;1.48116;0;00:00;00:03
KPW;408;1;0.01;0.001;0.01;0;100;139;0;02:02;02:05
KRW;410;1;1;0.1;1;0;100;0.45291;0;00:00;00:03
KWD;414;1;0.001;0.0001;0.001;0;100;2047.77396;0;03:03;03:06
KYD;136;1;0.01;0.001;0.01;0;100;753.33904;0;02:02;02:05
KZT;398;1;0.01;0.001;0.01;0;100;1.36387;0;02:02;02:05
LAK;418;1;0.01;0.001;0.01;0;100;0.02783;0;02:02;02:05
LBP;422;1;0.01;0.001;0.01;0;100;0.00856;0;02:02;02:05
LKR;144;1;0.01;0.001;0.01;0;100;1.88356;0;02:02;02:05
LRD;430;1;0.01;0.001;0.01;0;100;3.4375;0;02:02;02:05
LSL;426;1;0.01;0.001;0.01;0;100;39.07534;0;02:02;02:05
LYD;434;1;0.001;0.0001;0.001;0;100;98.63014;0;03:03;03:06
MDL;498;1;0.01;0.001;0.01;0;100;36.61815;0;02:02;02:05
MGA;969;1;0.01;0.001;0.01;0;100;0.14563;0;02:02;02:05
MKD;807;1;0.01;0.001;0.01;0;100;11.81507;0;02:02;02:05
MMK;104;1;0.01;0.001;0.01;0;100;0.29863;0;02:02;02:05
MNT;496;1;0.01;0.001;0.01;0;100;0.23776;0;02:02;02:05
MOP;446;1;0.01;0.001;0.01;0;100;77.82534;0;02:02;02:05
MRU;929;1;0.01;0.001;0.01;0;100;15.55651;0;02:02;02:05
MUR;480;1;0.01;0.001;0.01;0;100;13.3476;0;02:02;02:05
MVR;462;1;0.01;0.001;0.01;0;100;40.58219;0;02:02;02:05
MWK;454;1;0.01;0.001;0.01;0;100;0.34247;0;02:02;02:05
NAD;516;1;0.01;0.001;0.01;0;100;39.0411;0;02:02;02:05
NIO;558;1;0.01;0.001;0.01;0;100;17.03767;0;02:02;02:05
NPR;524;1;0.01;0.001;0.01;0;100;4.10531;0;02:02;02:05
OMR;512;1;0.001;0.0001;0.001;0;100;1633.81849;0;03:03;03:06
PAB;590;1;0.01;0.001;0.01;0;100;629.10959;0;02:02;02:05
PEN;604;1;0.01;0.001;0.01;0;100;186.72945;0;02:02;02:05
PGK;598;1;0.01;0.001;0.01;0;100;137.24315;0;02:02;02:05
PKR;586;1;0.01;0.001;0.01;0;100;2.26113;0;02:02;02:05
PYG;600;1;1;0.1;1;0;100;0.10445;0;00:00;00:03
QAR;634;1;0.01;0.001;0.01;0;100;172.51712;0;02:02;02:05
RWF;646;1;1;0.1;1;0;100;0.42654;0;00:00;00:03
SCR;690;1;0.01;0.001;0.01;0;100;41.43836;0;02:02;02:05
SDG;938;1;0.01;0.001;0.01;0;100;1.04452;0;02:02;02:05
SHP;654;1;0.01;0.001;0.01;0;100;855.2226;0;02:02;02:05
SLE;925;1;0.01;0.001;0.01;0;100;29.92;0;02:02;02:05
SOS;706;1;0.01;0.001;0.01;0;100;1.09418;0;02:02;02:05
SRD;968;1;0.01;0.001;0.01;0;100;16.88;0;02:02;02:05
SSP;728;1;0.01;0.001;0.01;0;100;0.08562;0;02:02;02:05
STN;930;1;0.01;0.001;0.01;0;100;29.38356;0;02:02;02:05
SVC;222;1;0.01;0.001;0.01;0;100;97.77397;0;02:02;02:05
SYP;760;1;0.01;0.001;0.01;0;100;6.9863;0;02:02;02:05
TJS;972;1;0.01;0.001;0.01;0;100;92.38014;0;02:02;02:05
TMT;934;1;0.01;0.001;0.01;0;100;179.45205;0;02:02;02:05
TTD;780;1;0.01;0.001;0.01;0;100;92.12329;0;02:02;02:05
TWD;901;1;0.01;0.001;0.01;0;100;19.73459;0;02:02;02:05
TZS;834;1;0.01;0.001;0.01;0;100;0.23545;0;02:02;02:05
UAH;980;1;0.01;0.001;0.01;0;100;14.06678;0;02:02;02:05
UYU;858;1;0.01;0.001;0.01;0;100;15.67637;0;02:02;02:05
UYW;927;1;0.0001;0.00001;0.0001;0;100;65;0;04:04;04:07
UZS;860;1;0.01;0.001;0.01;0;100;0.05334;0;02:02;02:05
VED;926;1;0.01;0.001;0.01;0;100;117;0;02:02;02:05
VES;928;1;0.01;0.001;0.01;0;100;0.80479;0;02:02;02:05
VND;704;1;1;0.1;1;0;100;0.02402;0;00:00;00:03
XAF;950;1;1;0.1;1;0;100;1.11644;0;00:00;00:03
XCD;951;1;0.01;0.001;0.01;0;100;231.25;0;02:02;02:05
XCG;532;1;0.01;0.001;0.01;0;100;354.61;0;02:02;02:05
XOF;952;1;1;0.1;1;0;100;1.50685;0;00:00;00:03
YER;886;1;0.01;0.001;0.01;0;100;2.65068;0;02:02;02:05
ZMW;967;1;0.01;0.001;0.01;0;100;32.7911;0;02:02;02:05
ZWG;924;1;0.01;0.001;0.01;0;100;23.95;0;02:02;02:05
